title,description,published date,url,publisher
《市評》恒指兩萬三關失而復得 內房股造淡 新世界受壓 - Yahoo 財經,《市評》恒指兩萬三關失而復得 內房股造淡 新世界受壓  Yahoo 財經港股6月開局不順早段曾挫逾600點內銀內房內險車股走低美團、快手各跌逾4%財經新聞Financial News  AASTOCKS.com中美談判陷停滯 累恒生指數6月首日早段跌逾600點 失23000點關  香港01恒指跌131點龍湖挫半成周大福逆市升3%｜即時新聞｜產經  on.cc東網有圖有勢｜誰在低位把港股托上？（持續更新）  香港經濟日報HKET,"Mon, 02 Jun 2025 09:39:42 GMT",https://news.google.com/rss/articles/CBMi6gJBVV95cUxQV3dWc254ZjdSTElnRTBLM2p3aHRsSTlyQmo1bmtwUUw4MVpjTkJHM1QwNExiTHNPb1lwQkw1d3BONkZsdHR6TkdDaWFaV2JJNW94OVZzSExqMXZYV2FNSW9WUnB2dG9URW9QQlZyVHRsMUNZMG5wNTVqV21VN2JWOHN2SE1QRW5zZkVlQ3g0anVCVTV5NWxVZktPWlJycUluX1JfbmhIT0d1MVUxOEZzejR2aDhPR2JsQzlhWWFhTUdFaFlwY19YdmQxNlBWVVBHQUQ0aDBjZVloYUtPS2tXSGZZaXhMMHgwWDB4X1dhbk1WLS14UVotVk81VlZPQ2dabzBNbUVkR3NPV0N2anYtWlBKWndabWQ2OUl2UWx6dkFPS2otNVpTTmk0VzAzb29mdmd4X0tuUkZySGZDZ2dYbDdhYWEwUDBpa2d6Sm1KUkNNX29NSk8wbGZFVjA0ajBZeGM2VzJnMFZpdw?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://hk.finance.yahoo.com', 'title': 'Yahoo 財經'}"
今日信報- 要聞 - 證監保監積金局齊棄用羅兵咸恒大調查未定案失客潮恐持續 - Hkej.com,今日信報- 要聞 - 證監保監積金局齊棄用羅兵咸恒大調查未定案失客潮恐持續  Hkej.com01獨家｜消息︰羅兵咸50名合夥人將離職 多部門員工減薪至少20%  香港01證監保監積金局齊棄用羅兵咸 恒大調查未定案 失客潮恐持續  Yahoo 財經據報羅兵咸香港辦事處本月約50名合夥人離職 多個部門員工減薪兩至三成  AASTOCKS.com傳羅兵咸月內有50名合夥人離職多部門減薪最少20%｜即時新聞｜產經  on.cc東網,"Sun, 01 Jun 2025 18:15:48 GMT",https://news.google.com/rss/articles/CBMi7AJBVV95cUxQNWtITlpSZjlIb3dXU2hyaWx6WVFDeTAzU2YzQWVvTVNXYzNDU2VhTFgwRG40aHZBRUVCTTMwb1VEVGtfUXZVUUJMTDJlLWVRR0Y1eHRhcTJNY1d0TExjRkx4RTZmTjZwYTdkYnB1ZHl6Y3UzRTlZbTM3Ti1UMFNPYW9tZTYyYzJEblRJeFRXbFRDM2xTQ2dxVmRhRC1BMF9DTmtIaGtHaFNkOVBFUmtEajdNQjJ5Y0dQY2NPSXFsVVMzWFg0YW9XQjBydzlGVWtfUndEaFNieWRFYWtiNW1MZmVkSW1HR3hlbmlPNzVkUzZlOF9nbWR2dVhjNzZmWVNUd3J1ZFBUUmJncUlqMTQ3enNnUjFYUUNvUWpFMWVDczZXckFCUmYwU1lIUHVfYjV0WWxFUkhPbzNvTk9sOFIyTXhXVTVta0hIZ3IyMjhxN2xBRUhVMndYV3o3UzZLSFh3Q2gxaHAwUHdVNUww?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www1.hkej.com', 'title': 'Hkej.com'}"
傳新世界(00017.HK)875億元貸款再融資已有60%獲銀行書面承諾 - Yahoo 財經,傳新世界(00017.HK)875億元貸款再融資已有60%獲銀行書面承諾  Yahoo 財經新世界4批永續債延遲派息 不構成違約 發言人：續遵守現有財務責任 - 20250531 - 經濟  明報新聞網野村:新世界永續債延遲派息屬意外負面消息  Hkej.com有圖有勢｜新世界曾插一成 多隻永續債急跌 計劃推遲支付永續債利息 （持續更新）  香港經濟日報HKET《大行》滙豐研究：新世界(00017.HK)延派永續債息顯示財務壓力維持「減持」評級財經新聞Financial News  AASTOCKS.com,"Mon, 02 Jun 2025 03:31:48 GMT",https://news.google.com/rss/articles/CBMi4wJBVV95cUxQaXdsTERlWkdENGJBX2o0MzZWbjYweG94cmVJUUcwSk40dUxqZ0FMZ2lEbzA5eGFsaURyaXVXOUotUk5vb1lEdnFZQjhFVFJOengwaU1KTmJPRUlZSmJndmZLa1dNb19uMGQ1cDdVRWZmRnBKRnhSeVhKSTJwVm4wNWhmVkMwb1pXVm1Md2UxY0gyYnhTMGIydGxIU09QZWs2c09XZC11MFpfMGJXWk5lTmEtLXd0aGxoN1ZoRnFGaWhMMGFYZjZhQ2ZwR1FjcjFPdFloVVRqYkg5M0JYYkVmMjVPTFJKc0ZhSXBSY1E1bnl3WmFZbmRnTTVJOW4zS1FwUXJnYTFtMVVITV9naHAtNkh4VDFpNWdOSDBQdFRRMUxKYXlxcDVrMkV1X2xWRUVKaXdsRFFFcHpzbERRSFBfN01HTkV1ZExpYjIwUGZtM0pWRHFhb19UTVhTSUYwZUd5VVhZ?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://hk.finance.yahoo.com', 'title': 'Yahoo 財經'}"
指派消費券需謹慎考慮 政府：若旅客市民都派財政壓力很大 - on.cc東網,指派消費券需謹慎考慮 政府：若旅客市民都派財政壓力很大  on.cc東網財經｜陳茂波：維持全年經濟增長預測2至3%  Yahoo 財經信報即時新聞 - 香港財經 - 陳茂波:對店舖結業情況「好上心」  Hkej.com陳茂波：維持全年本港GDP增長預測2至3%財經新聞Financial News  AASTOCKS.com香港經濟｜AMRO下調香港今年增長預測至1.9%  香港經濟日報HKET,"Mon, 02 Jun 2025 04:39:21 GMT",https://news.google.com/rss/articles/CBMiiwFBVV95cUxQaUdYWlNpMmtHYU1scUZneS1XRWdnWjhueldSYVFZM2ppdERSbDBTM010TWVCNGpBQmxjSXc4cWptQlhpQlNuNWN5TXVVWVBvSkYzY0VTWlpGV0ZxcDR5MDNmQ29nelRZV0RqUGpmMUhuRUc4Ylg1ZjNMbnJhTXVTQm0yWEVtTlNyblRv?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://hk.on.cc', 'title': 'on.cc東網'}"
港4月零售銷貨值跌2.3% 連跌14個月 遜預期 (16:33) - 20250602 - 即時財經新聞 - 明報財經網,港4月零售銷貨值跌2.3% 連跌14個月 遜預期 (16:33) - 20250602 - 即時財經新聞  明報財經網財經｜本港4月零售額跌2.3% 連跌14個月  Yahoo 財經本港經濟｜本港4月零售銷貨價值按年跌2.3%，遜市場預期  香港經濟日報HKET本港4月零售業總銷貨價值按年跌幅收窄至2.3% 惟遜預期外匯報價Forex - 外匯新聞內容News Content  AASTOCKS.com5則必讀新聞:本港零售額連跌14個月  Hkej.com,"Mon, 02 Jun 2025 08:39:33 GMT",https://news.google.com/rss/articles/CBMisAJBVV95cUxPYlFMbDdKWnY2VlVmSllpcUd5QmRXOTFCbE1pYW92bnJxQWhkNHJNd0NJRDYway1NSF9admQ1dHdrb1JjcHhNMU1UN3hlYzdfam9WMFk5ejJsMzdVUVlOSXRqNEJWRWc5ZzZjdVNrTC1aM0tGbTBESHpkcjVkb1ZCakRlbzlXZ09aUWNzWE5oSUllcnRHX0VzYTBhY2pFTFR5MFU2QkhRVlpXeEFJakd0eEF0N0ZTTDctNVA3ZzBNeWVfRWEtNThHbjF2YnMxZEk0ZWJuYXV5RDF5aWhFT0VVdnRHd0o4LVJYT0NGMm0zbTJzRDAxczk0aWxxd2lvU01GT0xieWVnX0ZhUkduSExHXzBKSzBldEV3SnRqa2J5LVBnbXFiY1YxSmRjSWRQZVRE?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://finance.mingpao.com', 'title': '明報財經網'}"
美國商務部長：協議期限迫近，特朗普關稅「不會取消」 - BBC,美國商務部長：協議期限迫近，特朗普關稅「不會取消」  BBC陳樂怡：特朗普關稅戰遇挫惟後市變數仍多｜即時新聞｜產經  on.cc東網港股劇情又反轉了？特朗普鬧劇遠未結束？  香港經濟日報HKET美國商務部長強調：關稅不會取消  Yahoo 財經美商務部長：關稅不會消失 料對等關稅90日豁免屆滿後不會獲延長  AASTOCKS.com,"Mon, 02 Jun 2025 05:06:50 GMT",https://news.google.com/rss/articles/CBMiZkFVX3lxTE94b1FfaUtvY3Vmc3YyTE5PNDRJczYxbEo0QTUwcUNUdmw1eXpyVjZQVm1aMlF5bG4wRGVRMXpwOXY0YzEwdldPbmctb0tFWlhKZG8ySnFnZ3ZpVkRiTkRIdU1xd29hUdIBa0FVX3lxTE1ZRmZ6c01naExRc0ZSUmg5dGlRWk1vT2E5djBWLWV1dWtxTWFyWmtiMDk5UFBaZmktTE1ERWRLb0NNVUN1UkVOLXNFNTUyeUcxaHhRVGdCMmNNMUNrdTIwLTd5Y05HZ0hiWjVF?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.bbc.com', 'title': 'BBC'}"
中國美國商會駁斥白宮說法 稱中國未有禁止稀土出口 - Yahoo 財經,中國美國商會駁斥白宮說法 稱中國未有禁止稀土出口  Yahoo 財經中國美國商會打臉白宮 稱中國未禁止稀土出口  Yahoo 財經中美貿易休戰據報因稀土問題面臨破裂風險  AASTOCKS.com中國美國商會:北京緩慢放寬稀土出口  Hkej.com異動股｜金力永磁跌逾3%，據報中國再度限制稀土輸美施壓  香港經濟日報HKET,"Mon, 02 Jun 2025 03:06:48 GMT",https://news.google.com/rss/articles/CBMi8wJBVV95cUxOdzBYcnRybFloc0hFVXNWekdFM3BaSnNzMXRtTGNFMWt0SVVtYVhCZW1SVV80U2otMGh0djRzRXZMMEZubUdYZ0lrR0VpMXdRU3BoRUo5U3V4Q0NLeWJ3eUUxSU9OWDl2M0xyVXlGbUo2N0NoOGJjUldhMU9ORHlQd21pbUtmbHRsY0FEcHlKUkhrSVYxT2llZ3lQWGRsR1dwLXRXc0Yxd3lNVE55dU8zOE1LTzVsajNZNVJHaFJXZXJuUzlwcGYtUmlIcHN6Q0NxekJQeHU3eVNwdl9IajZZRl9EWU1ydWhJUlAyQWlCMFdsS1JMR0RIS082TENOeWk3M1lpLUNWNTFKemhxZlk0STAwZThXdXZBVTEzQ3dJQUJwRWVrMER0eE1rekVxdUlnazNZWmFTaG5VR0h1bzNNSUJnRzM3aUFkaXRGX19pRHhxdlBRSEY4OVVfaTUyMUxHRjN3SjNieEdZeEJhT01pdWhoTQ?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://hk.finance.yahoo.com', 'title': 'Yahoo 財經'}"
馬時亨履新貿發局主席 稱全力以赴發揮超級聯繫人超級增值人角色 - 香港電台新聞,馬時亨履新貿發局主席 稱全力以赴發揮超級聯繫人超級增值人角色  香港電台新聞信報即時新聞 - 香港財經 - 貿發局新任主席馬時亨與管理層會晤  Hkej.com貿發局新任主席馬時亨與管理層會晤  AASTOCKS.com馬時亨接任貿發局主席次日晤管理層(16:59) - 20250602 - 港聞- 即時新聞  明報新聞網貿發局新任主席馬時亨履新  Now 新聞,"Mon, 02 Jun 2025 09:00:00 GMT",https://news.google.com/rss/articles/CBMib0FVX3lxTE16MUdkQUNJblN0WUlaRlZzWnZrNlJ3dVRkRWVacWVvRVlsb3NrNHRZNHkzVjBWZFdBVGltbU4xQkY3TG5McjhRajhnNEQxMVhJZm9tWVBGQmpmZDh6cXMyNm5WWC1UOENlT05lTDZ4WQ?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://news.rthk.hk', 'title': '香港電台新聞'}"
紀惠15億放售舂坎角華翠海灘別墅 4個月減價5億元 (16:47) - 20250602 - 即時財經新聞 - 明報財經網,紀惠15億放售舂坎角華翠海灘別墅 4個月減價5億元 (16:47) - 20250602 - 即時財經新聞  明報財經網《港樓》舂坎角豪宅屋苑以要約形式放售仲量聯行：具翻新及重建發展潛力- 財經新聞Financial News  AASTOCKS.com華翠海灘別墅擬要約形式放售由紀惠集團持有｜即時新聞｜產經  on.cc東網紀惠舂坎角華翠海灘別墅劈價2成半 意向價15億放售  地產站紀惠放售赤柱華翠海灘別墅 意向價15億  Hkej.com,"Mon, 02 Jun 2025 08:55:32 GMT",https://news.google.com/rss/articles/CBMi6AJBVV95cUxNRThkU1V0VnhPLURyaGItd2VaUW1mbGRpaVlNWUs2RGFhWjd6QzNIZjluNy1zWF9pZG9XQXBjNks3NU5YeEJIRzI2TEo2SW1uUExTZ3lNQ0ZaT0hiTURiSE45VTR3dzRRaDZEMGNOWnR5a2JKaGNFQmVWYk5QY09ZQ25lMThraU9rVzl6MlhkWDV6M05CQTlGYnhHWEpiQUs0VXg5RkVnMUdlZkJxSk5nY3E4aEdURXUyRUYxQVlTRWY3XzU2TzRRTDNuVTdVem1NdHUtSU0tQkY5a2M1TEF4M0h3VTdGYVo0bk5NWkZjdWV4WHpKVW9jaDU0dko3eV9wcHozNHBDNG9acXJSQ2ExX2dZUHVPNkREN1oycFdLc1hVZGc0MTNzMGZnUTZ0WnF6aE1JQ3NaTGV5TlNfOVFtVm16bGw0VlVyakg4NHVHREZFNHlIdm1OS0lPVGpJczVHLWEtUlRLQlQ?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://finance.mingpao.com', 'title': '明報財經網'}"
地產代理：十大屋苑二手成交重回雙位數一手向隅客回流二手 - Yahoo 財經,地產代理：十大屋苑二手成交重回雙位數一手向隅客回流二手  Yahoo 財經【35屋苑】係咩原因導致今個星期成交回落一成?  美聯物業 Midland Realty峻瀅上月10宗成交 逾一年最旺 - 20250602 - 經濟  明報新聞網【周末樓市】新盤向隅客回流二手 中原成交飆3倍  Now 新聞香港置業：上周20大屋苑交投按周持平  地產站,"Sun, 01 Jun 2025 23:31:48 GMT",https://news.google.com/rss/articles/CBMijANBVV95cUxOcUJLT1pqWmFMLUZGNGdjY19yWjUtNXpZdzkxRmNWVGtxVFZwTjJ3V25lRHlKWnlud2VyVFRpN1VzczhTZ0hSYWowYmlfMlVJSW9GcHo1djAwNEpFRFYtbUUtY1FUR3plUTd4ZHZEYXVvOTVtWlQ4Q21lejl0MUEwQ2ZPWm5HU1VhWGNOLW5BNWY0TWhvTVhDak1ITi1LNklnMk9OdGxBREo3Y0VjckVyOTdXaTdic3ozbm9WYmluSzVDcFp2Q2dTSi1Ib2JWNUUxdGNyLWlvR2ZvSVhWWWtyb3JuTDQ4U0Naek5rV2lPUVBCeXItOGlDLVRyajZJZGdMZFVjcXh4MFFmekRtcHI0RHhRQjM5UUN0TWdsWDBKaUUtUk5ocWpJdm5pdFlkQkZ4U21aQXZTNU1sMWRkY3Q0VVozMkgxRlY3VThQNXRqU2o3Z3EzRXFrMExmV2dSV2tVSmdsb1gxRXQtcXhQbGhFWnRJTFY1N212SmtaSnA2RVVtczctN3BtMFFhX3c?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://hk.finance.yahoo.com', 'title': 'Yahoo 財經'}"
